Province,"Census Metropolitan Area","Geographic Key"
Quebec,MontrÈal,1
Saskatchewan,"Other CMA or non-CMA",2
"Newfoundland and Labrador","Other CMA or non-CMA",3
Ontario,"Other CMA or non-CMA",4
"British Columbia",Vancouver,5
Ontario,Toronto,6
"New Brunswick","Other CMA or non-CMA",7
Quebec,"Other CMA or non-CMA",8
Manitoba,Winnipeg,9
Manitoba,"Other CMA or non-CMA",10
Alberta,"Other CMA or non-CMA",11
"Nova Scotia","Other CMA or non-CMA",12
Ontario,"OttawañGatineau (Ontario part)",13
Ontario,Hamilton,14
"British Columbia","Other CMA or non-CMA",15
Alberta,Edmonton,16
"Prince Edward Island","Other CMA or non-CMA",17
Quebec,QuÈbec,18
Alberta,Calgary,19
